group,names,scores,logfoldchanges,pvals,pvals_adj
0,LTB,23.349812,9.351023,1.3842415833419232e-120,4.5317300955447883e-116
0,IL32,22.032772,4.6602154,1.3975268717380465e-107,2.287611736348008e-103
0,LDHB,20.1311,3.615374,3.941491880202078e-90,4.3012187058018545e-86
0,IL7R,18.710133,3.032889,4.093598740224249e-78,3.3504058889365366e-74
0,CD3D,18.692657,2.784285,5.681126783074002e-78,3.719774572485533e-74
0,RPS25,16.896687,6.230921,4.75911395111272e-64,2.596731208858804e-60
0,TPT1,16.747078,8.059339,5.947739796337964e-63,2.7816729350358897e-59
0,JUNB,16.652298,7.0090194,2.912039085256188e-62,1.1916791946639635e-58
0,CD3E,16.234589,2.3272607,2.871629677948662e-59,1.0445712488520365e-55
0,JUN,16.219584,3.6628585,3.6666861801935553e-59,1.2003997216717661e-55
0,RPS27,16.090933,10.935009,2.953577031496979e-58,8.790382259740737e-55
0,RPS12,16.04826,12.252253,5.8790239432062885e-58,1.6038957154390623e-54
0,RPS27A,15.851956,9.038715,1.362710709215194e-56,3.4317248614066943e-53
0,RPS3,15.494903,11.624507,3.755310012803516e-54,8.781524228511536e-51
0,RPS29,15.364192,3.386098,2.845623842265649e-53,6.210668889872855e-50
0,RPL23A,15.263651,7.5744376,1.3356100144395816e-52,2.7328250407951887e-49
0,RPSA,14.9994135,5.7897844,7.407045301388343e-51,1.4264226416285385e-47
0,RPS18,14.897416,11.993152,3.425713884012978e-50,6.230612285267604e-47
0,RPS15A,14.796306,7.784046,1.5475238732984431e-49,2.666465082318128e-46
0,CD2,14.722387,2.747586,4.630207205089712e-49,7.579186174011348e-46
0,RPL30,14.540298,5.641385,6.729814176764699e-48,1.0014575296314668e-44
0,RPLP0,14.5314665,4.7009735,7.656332179368635e-48,1.0897956647311754e-44
0,B2M,14.447197,21.149048,2.610971006345263e-47,3.4191187522292487e-44
0,RPL13A,14.308129,15.715929,1.946786901942136e-46,2.4513042152223713e-43
0,RPL27A,14.295341,6.551722,2.339587001019586e-46,2.8367925644214522e-43
1,S100A9,33.669395,44.52119,1.6220411850838e-248,5.310238431727344e-244
1,S100A8,33.262875,25.69295,1.3297716290874056e-242,2.1767031796531743e-238
1,LYZ,33.203033,62.16248,9.733079563739331e-242,1.0621385291923275e-237
1,FCN1,30.524794,9.849937,1.2219781348559522e-204,1.000128004472854e-200
1,TYROBP,30.406263,15.17921,4.539646339944954e-203,2.972378837542358e-199
1,FTL,30.374178,91.17153,1.2048721346274839e-202,6.5741839905724285e-199
1,LGALS2,30.25991,8.841096,3.8643348086810894e-201,1.8072941852371644e-197
1,CST3,30.110867,16.917082,3.492081724355932e-199,1.4290471436495561e-195
1,FTH1,29.377602,58.229443,1.0614520926780938e-189,3.4749818610095432e-186
1,LGALS1,28.32314,10.666327,1.793430226200261e-176,5.337574431394922e-173
1,S100A6,27.766645,11.2774,1.097103911523179e-169,2.993082321287153e-166
1,AIF1,27.661129,6.881773,2.0506683734895266e-168,5.164213939330778e-165
1,GSTP1,27.607248,6.317275,9.107028526463857e-168,2.1296135707098123e-164
1,LST1,27.343584,5.192546,1.2872996364763087e-164,2.8095743665974265e-161
1,GPX1,27.319288,6.042705,2.5029544337840014e-164,5.12135764082629e-161
1,TYMP,27.0729,5.9612713,2.0534616358543194e-161,3.954483943211688e-158
1,CTSS,26.175592,6.506703,5.040305900504948e-151,9.16719636504061e-148
1,S100A4,25.80622,14.164035,7.550614480283473e-147,1.3010106150290543e-143
1,SAT1,25.46204,6.918396,5.19354720104551e-143,8.096492774658471e-140
1,FCER1G,25.384281,4.763097,3.7613144347148224e-142,5.597177816531538e-139
1,OAZ1,24.933815,8.287937,3.1994397344409984e-137,4.554054696788235e-134
1,S100A11,24.744,5.3060894,3.597411141153464e-135,4.907168580795088e-132
1,PSAP,24.407705,5.2628164,1.4165720193564912e-131,1.8550293907877126e-128
1,COTL1,24.007563,6.24763,2.318434394355927e-127,2.710746614372298e-124
1,NPC2,23.838518,4.819817,1.3321956642348404e-125,1.5039110915765587e-122
2,CD79A,27.879896,10.311793,4.677505733468698e-171,1.5313218270229824e-166
2,CD74,27.296888,31.242762,4.618275403471673e-164,7.559655007942782e-160
2,CD79B,25.83289,6.9927745,3.7884978280758144e-147,4.134261396518201e-143
2,HLA-DRA,25.286276,19.276094,4.5222681909366057e-141,3.701250400872065e-137
2,MS4A1,24.875114,6.9426622,1.3835670987894946e-136,9.059043936034095e-133
2,HLA-DQA1,24.258718,5.1659303,5.349930957501101e-130,2.9191006614445176e-126
2,HLA-DPB1,23.54455,7.331799,1.4275656114849575e-122,6.676520426970649e-119
2,HLA-DQB1,23.203205,5.1520443,4.226282658490595e-119,1.7295005209208137e-115
2,HLA-DRB1,21.539919,4.981205,6.582174805565213e-103,2.1548723878459394e-99
2,HLA-DPA1,21.487822,4.953492,2.0238428093828393e-102,6.023324172143217e-99
2,CD37,21.185623,5.589336,1.2959959385627254e-99,3.2637165412820387e-96
2,TCL1A,18.389046,8.049996,1.6078752353929092e-75,3.5092412970862044e-72
2,HLA-DRB5,17.865177,2.6721842,2.2023169702985105e-71,4.506215810852039e-68
2,LINC00926,16.56202,7.493334,1.3111717630155042e-61,2.1462570588800787e-58
2,HLA-DMA,15.446412,2.9551222,7.976187376923019e-54,1.088018426440441e-50
2,VPREB3,14.459541,7.3831606,2.1824622344513886e-47,2.165134807014229e-44
2,HLA-DQA2,13.686599,3.4056015,1.2209108633837934e-42,1.142005138441675e-39
2,BANK1,13.421015,4.842966,4.5543296339868756e-41,4.0297200961476306e-38
2,HVCN1,12.922572,3.1830163,3.3572843972164805e-38,2.6807506486847104e-35
2,HLA-DMB,12.672764,2.770894,8.371242591189865e-37,6.5251842845327095e-34
2,FCER2,11.006836,6.1387267,3.542279872258912e-28,1.9994337665174527e-25
2,LTB,10.421736,2.1570597,1.973192109541484e-25,9.787630800328652e-23
2,ISG20,9.70687,1.806909,2.818592127076406e-22,1.1391983834102146e-19
2,IRF8,9.669449,3.3752213,4.065634114456805e-22,1.6231796297449618e-19
2,CXCR4,9.553661,1.7275366,1.251921393570334e-21,4.8218120685536e-19
3,RPS27,16.430536,12.789248,1.1563182911702901e-60,1.8927774108166479e-56
3,LDHB,15.475155,2.4454868,5.105059985652658e-54,4.178236345257418e-50
3,RPL31,15.287983,5.8776517,9.195469537857046e-53,6.020825634607279e-49
3,RPL9,14.454871,7.004233,2.3356554360178126e-47,1.2744114610725193e-43
3,RPS13,14.267025,5.617008,3.512454171432538e-46,1.625105786847527e-42
3,RPS25,14.250237,6.1243944,4.4675765415198686e-46,1.625105786847527e-42
3,RPL30,14.040396,6.0519695,8.821892969963602e-45,2.625555745915167e-41
3,RPS6,13.628281,15.307063,2.7191248139300388e-42,6.847592935264739e-39
3,RPS12,13.589422,10.928796,4.627200677028e-42,1.0820378268895905e-38
3,RPS3A,13.419075,9.556269,4.675117367950728e-41,9.565874524498183e-38
3,RPL21,13.316028,8.184188,1.8678485551722993e-40,3.5970368234841608e-37
3,CCR7,13.078382,2.8267496,4.376618438463836e-39,7.541143917812055e-36
3,MALAT1,13.03364,34.55415,7.875903749331763e-39,1.2892066847281163e-35
3,RPL32,13.018801,10.32784,9.566124053020122e-39,1.4235262238535122e-35
3,RPLP2,12.928756,7.3897953,3.0979013172677805e-38,4.4095257967266345e-35
3,BTG1,12.816115,2.7793653,1.3320820450021848e-37,1.8170709162200638e-34
3,RPL3,12.785913,10.332617,1.9653976977323493e-37,2.573727593134466e-34
3,RPS27A,12.726858,7.462189,4.1937905280205224e-37,5.280627473320611e-34
3,JUNB,12.622537,5.9265566,1.5862863102764564e-36,1.923401526882616e-33
3,RPS14,12.47366,8.281545,1.0393904791492841e-35,1.2152701966567595e-32
3,RPS15A,12.453388,6.748217,1.3403148049887793e-35,1.5130767615766433e-32
3,RPS20,12.434503,3.642478,1.6979422802717298e-35,1.79313659263019e-32
3,RPL35A,12.19517,4.49899,3.2981459826430065e-34,3.374209474367711e-31
3,RPS29,12.081893,2.8351278,1.3165379967953823e-33,1.2314520268310635e-30
3,RPS3,11.909223,9.467495,1.0596059451130816e-32,9.635938730864463e-30
4,MALAT1,5.1901093,17.878733,2.1017091701727598e-07,3.9317574178923316e-05
4,CD3D,4.7749696,0.736235,1.7973457798632698e-06,0.0002674613915507442
4,NOSIP,2.9213693,0.35089108,0.003484964730685822,0.2198280835321627
4,CD3E,2.632862,0.1523153,0.008466872211351513,0.45609518971692414
4,PRKCQ-AS1,2.3758092,0.9537142,0.017510514777180734,0.7746746388855985
4,IL32,2.0421343,-0.33678752,0.041138208691776285,1.0
4,AQP3,1.9273452,0.161605,0.053936626072953575,1.0
4,CD3G,1.8140904,0.26841608,0.06966380936169024,1.0
4,SVIP,1.7342558,0.7240868,0.08287269810912881,1.0
4,LUC7L3,1.695801,1.3836097,0.08992357241548797,1.0
4,IL7R,1.6794505,0.5265294,0.09306427768950891,1.0
4,C12orf57,1.6224874,0.48349842,0.1046990138412411,1.0
4,RPS27A,1.607096,1.284941,0.10803332305486867,1.0
4,OXNAD1,1.5606337,0.57530385,0.11861020938107085,1.0
4,STMN3,1.5024719,0.75105274,0.1329752742184058,1.0
4,TRAF3IP3,1.3965054,0.017465599,0.162562374836143,1.0
4,PRDX2,1.3620782,0.3154357,0.17317321266271202,1.0
4,SH3YL1,1.2845931,0.71236426,0.198934506042155,1.0
4,CD7,1.2487276,0.116152674,0.21176475862235944,1.0
4,GIMAP7,1.2037036,0.09375853,0.22870412571335308,1.0
4,SLC7A6,1.1961278,1.1497624,0.23164669130681648,1.0
4,CD6,1.1500012,0.66985774,0.25014339071492975,1.0
4,NELL2,1.0933259,0.59218585,0.2742507676909087,1.0
4,LDHB,1.0825374,-0.2347245,0.27901381842425654,1.0
4,AAK1,1.066954,0.4936111,0.2859925853417621,1.0
5,CCL5,16.694347,9.653119,1.4408600042194505e-62,4.717087481813637e-58
5,GZMK,15.283895,5.77387,9.791091717935963e-53,1.6027038033089378e-48
5,NKG7,12.989301,2.3720827,1.407059306931424e-38,1.5354769196773653e-34
5,IL32,12.393823,4.300094,2.8226025727213237e-35,2.3101590756437674e-31
5,CTSW,11.760965,2.9370596,6.202138907294549e-32,4.060912470940179e-28
5,GZMA,10.818035,2.363408,2.8277447424950254e-27,1.3224958197114592e-23
5,LYAR,9.812654,3.1218977,9.932163580116952e-23,4.06448964107336e-19
5,IL7R,9.076812,2.252713,1.118020659250493e-19,3.6601760342542635e-16
5,CST7,8.642192,1.7669497,5.514462306812423e-18,1.64120424545841e-14
5,HOPX,8.388316,2.5616403,4.9315271275269354e-17,1.3454027925081403e-13
5,NCR3,8.001401,3.9645505,1.2301188846766196e-15,3.0978178497340903e-12
5,CXCR4,7.6800895,1.7601616,1.589775803312918e-14,3.4697386832572205e-11
5,CD8A,7.6537967,2.2046561,1.9513079502531598e-14,3.9926199797117465e-11
5,GZMM,7.5298085,2.22419,5.081476948218918e-14,9.242077351710607e-11
5,MT-ND2,7.3416395,2.9855328,2.1099287499908508e-13,3.6355182851158143e-10
5,PTPRCAP,7.2407403,1.4680665,4.46241847611573e-13,6.640484366867125e-10
5,HCST,7.012446,1.5093431,2.3418773558902334e-12,3.1945158698806025e-09
5,CD3D,6.983305,1.1205354,2.883156185575009e-12,3.775550688134186e-09
5,DUSP2,6.9415517,2.1452575,3.8781597165758015e-12,4.702340474120689e-09
5,KLRG1,6.9350424,3.2761765,4.060999951975426e-12,4.748179158134696e-09
5,MT-CYB,6.813699,2.6990316,9.512086035260663e-12,1.0738161124909088e-08
5,JUN,6.4519567,2.8406467,1.1041521123980089e-10,9.769657258293517e-08
5,ZFP36L2,6.121644,1.4738669,9.261486188549026e-10,7.051221740481814e-07
5,CD7,6.078416,1.1882681,1.2137565994984638e-09,8.874163310815868e-07
5,ID2,6.074907,1.634881,1.2405979931730423e-09,8.874163310815868e-07
6,CCL5,18.922533,15.93683,7.439082692044047e-80,2.4354068917213803e-75
6,NKG7,18.823776,18.312222,4.822172392774448e-79,7.893413989732494e-75
6,CST7,17.860804,5.709031,2.38181422586763e-71,2.5991944708818162e-67
6,GZMH,15.531374,8.485279,2.1277071372498394e-54,1.741421906482131e-50
6,GZMA,15.41235,5.0128036,1.3520426382176763e-53,8.852634377994056e-50
6,CTSW,13.406162,3.3744934,5.564456197888646e-41,3.0361527834413085e-37
6,CD3D,12.283684,3.4539566,1.1083481201167947e-34,5.183585822340518e-31
6,HLA-C,12.164453,8.991737,4.806552991730079e-34,1.9669616480407414e-30
6,CD8A,11.375479,4.2884197,5.539795543883918e-30,1.752219540103882e-26
6,IL32,11.370167,4.20391,5.88747478194841e-30,1.752219540103882e-26
6,HLA-A,11.263829,7.3782372,1.9796568256812246e-29,5.400833763262662e-26
6,B2M,11.19163,32.935112,4.481151264538276e-29,1.1284917699881085e-25
6,GZMM,10.715895,2.4917412,8.57242624964849e-27,1.8709606037399485e-23
6,PTPRCAP,10.488212,3.000525,9.786280230602213e-26,2.0023952636840953e-22
6,FGFBP2,10.064613,3.3590336,7.91977596171409e-24,1.5251625025564465e-20
6,PRF1,10.009743,2.3103328,1.38111207410803e-23,2.5119359490082602e-20
6,CD99,9.983287,2.2460375,1.8038953783738237e-23,3.108206678800118e-20
6,LYAR,9.347631,2.303549,8.963215175793828e-21,1.2226572434380765e-17
6,GZMB,8.97055,2.3442836,2.9503821520940154e-19,3.577392996120514e-16
6,CD8B,8.801038,3.1807384,1.3555624023725216e-18,1.5849429260311291e-15
6,KLRG1,8.495484,2.5950046,1.971095293822413e-17,2.1509905909719384e-14
6,CCL4,8.481045,2.6120002,2.2318126701020246e-17,2.356938167541938e-14
6,HLA-B,8.25429,3.1614096,1.528080431129141e-16,1.5159483986153277e-13
6,APOBEC3G,8.168219,3.1067934,3.1297521026965646e-16,2.9274806953737177e-13
6,HCST,7.662521,1.7864107,1.8231865846032656e-14,1.4557922538229686e-11
7,LST1,20.65736,24.94587,8.382258170139874e-95,2.744183679740392e-90
7,AIF1,20.180283,21.067131,1.4590740317374671e-90,2.38835828255106e-86
7,FCER1G,20.079065,20.358572,1.1249332175238652e-89,1.2276021225098767e-85
7,IFITM2,19.896566,15.739002,4.357796400513364e-88,3.5666384640001626e-84
7,FTH1,19.801802,127.45324,2.872364429497247e-87,1.8807093338576172e-83
7,FCGR3A,19.655718,13.654642,5.1652118262353325e-86,2.818311746121539e-82
7,COTL1,19.575804,20.777546,2.48683508557528e-85,1.1630572433080503e-81
7,FTL,19.5301,165.70886,6.091962943415244e-85,2.492983535519103e-81
7,SAT1,19.181894,19.245516,5.2434279985880786e-82,1.9073260646419614e-78
7,IFITM3,18.945036,9.911834,4.852654060460317e-80,1.5886618863134985e-76
7,OAZ1,18.684458,19.184908,6.624782264691089e-78,1.9716556525586986e-74
7,CTSS,18.654444,13.26483,1.1620407466271061e-77,3.170240830256517e-74
7,S100A11,18.607115,11.673588,2.8136908291492894e-77,7.085739258822265e-74
7,S100A4,18.546509,30.32272,8.702373463895181e-77,2.034987874721432e-73
7,PSAP,18.527252,10.56191,1.2448484892432192e-76,2.7169233227229674e-73
7,SERPINA1,18.135546,7.353995,1.6702982311116552e-73,3.417638968133336e-70
7,TMSB4X,18.12222,94.15857,2.128363981208553e-73,4.098728236282683e-70
7,TYROBP,17.849941,17.591799,2.893445456980953e-71,5.262534298369024e-68
7,CD68,17.671692,5.8085217,6.928667375246592e-70,1.193845855425384e-66
7,CST3,17.652908,21.82881,9.665003708031607e-70,1.5820644569676937e-66
7,CFD,17.503204,6.4952993,1.3543133173953486e-68,2.1113099707089962e-65
7,ARPC3,17.422554,9.095225,5.563683169659146e-68,8.279266345831868e-65
7,TIMP1,17.39574,8.250472,8.886978490801963e-68,1.264964790573368e-64
7,ACTB,17.219486,48.75232,1.8966174780890109e-66,2.5871442915699185e-63
7,YBX1,17.16224,7.302769,5.091172912634074e-66,6.666992752552572e-63
8,NKG7,20.027676,31.9062,3.160646297958403e-89,1.034732385025622e-84
8,GNLY,19.939734,32.667004,1.8404126481361827e-88,3.012571463734117e-84
8,GZMB,19.49019,16.174982,1.329864524390939e-84,1.4512368266503523e-80
8,PRF1,18.88234,9.939351,1.5937045836867866e-79,1.3043675165184504e-75
8,CTSW,18.567648,7.427971,5.872010492114269e-77,3.8447575898167383e-73
8,GZMA,17.855558,7.5403748,2.6165331386104937e-71,1.4276676981971724e-67
8,CST7,17.788025,7.529173,8.751077122099533e-71,4.092753754618493e-67
8,FGFBP2,17.214207,9.53556,2.077736641838619e-66,8.502617772564088e-63
8,CD247,15.451775,5.3971567,7.339409597833418e-54,2.184341740126095e-50
8,SPON2,14.606222,7.019445,2.5634343937981336e-48,5.594781012277553e-45
8,FCGR3A,14.113935,3.5613053,3.116851788905954e-45,5.3704996771159534e-42
8,HLA-C,13.516984,10.70416,1.241627204526843e-41,1.6259356568719917e-38
8,CD7,13.481294,3.7144423,2.0154089036706347e-41,2.450809798692307e-38
8,CCL4,13.3953285,8.09983,6.439076690556077e-41,7.406331801977578e-38
8,GZMM,13.217627,3.8117504,6.94202117621806e-40,7.575596308900896e-37
8,PLAC8,12.854102,3.3053348,8.156785276426607e-38,6.847098368709083e-35
8,HOPX,11.973714,4.91077,4.879458777071387e-33,3.327994196745064e-30
8,HLA-A,11.690011,7.558982,1.4336853114060168e-31,9.026151870155804e-29
8,CLIC3,11.5056305,6.2570343,1.2358302385908419e-30,7.356110972906724e-28
8,B2M,11.474108,34.25799,1.7800413975399525e-30,1.0223683381168942e-27
8,KLRD1,11.193877,5.4446774,4.369002337203619e-29,2.134811918139882e-26
8,UBB,11.165347,3.2812185,6.025547852711367e-29,2.900946847089187e-26
8,GZMH,10.935232,4.0589924,7.820550822712007e-28,3.5072492169033656e-25
8,ITGB2,10.889124,2.8659308,1.298838741971026e-27,5.669517697952994e-25
8,APMAP,10.873309,3.6351645,1.5449379007492648e-27,6.568594414899926e-25
9,CD8B,15.064996,5.5496674,2.751829898926827e-51,9.008940723106647e-47
9,RPS12,12.129284,18.834301,7.389261950854144e-34,1.209548288735315e-29
9,RPS6,11.240328,20.33644,2.584206013661618e-29,2.6141266232286127e-25
9,RPL13,11.221611,24.13632,3.193996729462536e-29,2.6141266232286127e-25
9,RPS25,11.170283,7.8095183,5.699877728193142e-29,3.7320519413117413e-25
9,RPLP2,11.105471,11.303477,1.1799456761287253e-28,6.358970620396476e-25
9,RPL9,11.092798,10.580407,1.3596674916847496e-28,6.358970620396476e-25
9,MALAT1,11.065246,47.720592,1.8495574512164745e-28,6.8219269148168575e-25
9,RPS5,11.0553055,9.269668,2.066320411287105e-28,6.8219269148168575e-25
9,RPS27,11.05455,13.579744,2.0837946468375765e-28,6.8219269148168575e-25
9,RPL32,10.945676,14.855434,6.969619865745652e-28,1.937128856217537e-24
9,RPL3,10.94399,14.3093195,7.100478427090977e-28,1.937128856217537e-24
9,RPL21,10.786056,11.330792,4.0061868373061e-27,1.0088811129209777e-23
9,RPL31,10.740715,7.1541653,6.553473729704665e-27,1.532483021164795e-23
9,RPS3A,10.729438,14.111394,7.404489610869327e-27,1.616054539204267e-23
9,RPS3,10.67038,15.586176,1.4005255080409013e-26,2.865650255140189e-23
9,RPS14,10.378576,12.880711,3.10370450599845e-25,5.977004595139838e-22
9,RPS18,10.345734,16.483335,4.375533143000525e-25,7.9581224464195105e-22
9,RPS23,10.104384,7.2712793,5.282615807033498e-24,9.102225067929614e-21
9,RPS13,9.98249,6.139052,1.818458155144473e-23,2.969176799394501e-20
9,RPSA,9.977898,7.455652,1.90459749487704e-23,2.969176799394501e-20
9,EEF1A1,9.715448,11.505213,2.5910661295306856e-22,3.855741952207981e-19
9,RPS4X,9.621803,11.270531,6.4686892433440985e-22,9.207476019504308e-19
9,RPS28,9.559374,4.9607005,1.1847147112361995e-21,1.6072720549686771e-18
9,RPL27A,9.555712,8.589018,1.2273749579759584e-21,1.6072720549686771e-18
10,HLA-DPB1,9.558556,63.30071,1.194116801952156e-21,3.9092995862309686e-17
10,HLA-DQA1,9.486416,20.82479,2.391135363028203e-21,3.9140494757408653e-17
10,HLA-DRA,9.376495,102.78737,6.820202384083008e-21,7.442659521670318e-17
10,HLA-DPA1,9.317711,47.40221,1.1887706146257545e-20,9.729493095404488e-17
10,CD74,9.228564,122.141136,2.74283205973588e-20,1.7958967194326648e-16
10,CST3,9.196376,64.88278,3.702263717707348e-20,1.9687030374844526e-16
10,HLA-DRB1,9.182565,44.980534,4.209457285842497e-20,1.9687030374844526e-16
10,LSP1,8.843784,6.338247,9.253034924303816e-19,3.7865732168982294e-15
10,TMSB10,8.785228,42.138428,1.560476231786744e-18,4.716734128924285e-15
10,LYZ,8.781462,90.24573,1.6136427571418975e-18,4.716734128924285e-15
10,HLA-DRB5,8.774156,19.508589,1.7219029829599338e-18,4.716734128924285e-15
10,HLA-DQB1,8.7737,16.46735,1.728902484791112e-18,4.716734128924285e-15
10,HLA-DMA,8.638325,7.484203,5.7043462722678954e-18,1.436529909703895e-14
10,VIM,8.549976,22.38916,1.2311335117643808e-17,2.8789177791530214e-14
10,FCER1A,8.486741,17.472742,2.125130773481644e-17,4.6381687508161374e-14
10,GAPDH,8.475669,14.236869,2.337328621650426e-17,4.782466525974478e-14
10,LGALS1,8.466765,17.585194,2.5230124842562587e-17,4.858728394681259e-14
10,GSTP1,8.426358,10.20914,3.5658866992853407e-17,6.485555486733527e-14
10,SLC25A6,8.317579,10.27154,8.97782747291495e-17,1.5435128696759871e-13
10,RPS2,8.311758,50.382614,9.42948787143984e-17,1.5435128696759871e-13
10,GABARAP,8.214393,6.059669,2.1324093937009528e-16,3.316366421789804e-13
10,GNB2L1,8.207315,14.474998,2.2618845074301696e-16,3.316366421789804e-13
10,ANXA2,8.198754,7.43486,2.428898129132579e-16,3.316366421789804e-13
10,RPS11,8.198641,16.01367,2.4312051476252457e-16,3.316366421789804e-13
10,ARPC1B,8.171132,8.968766,3.0550946690320257e-16,4.000707570990819e-13
11,PPBP,6.6879582,60.452995,2.2630532718235262e-11,5.533659979705574e-07
11,NRGN,6.628961,10.674024,3.3805730219961963e-11,5.533659979705574e-07
11,GPX1,6.541878,21.957108,6.075104418245184e-11,6.629558948150362e-07
11,PF4,6.237585,30.835396,4.4437679464566303e-10,2.17073313108073e-06
11,SDPR,6.234594,20.30855,4.529515821289746e-10,2.17073313108073e-06
11,GNG11,6.2334304,19.996317,4.5632965401157095e-10,2.17073313108073e-06
11,SPARC,6.2307715,11.338908,4.64143561535986e-10,2.17073313108073e-06
11,HIST1H2AC,6.1772585,19.509594,6.522420697095679e-10,2.6691376097689792e-06
11,RGS18,6.1237454,8.579848,9.140079587450732e-10,3.3247547281551337e-06
11,TPM4,6.0645823,7.8894205,1.3229712132941348e-09,4.331143158082338e-06
11,RGS10,5.944926,8.42271,2.7658204643799944e-09,6.4676735973480185e-06
11,TAGLN2,5.873298,8.325058,4.272089322031858e-09,9.32397734831193e-06
11,CALM3,5.8452125,5.509219,5.059228539769976e-09,1.0351813995936842e-05
11,GP9,5.7945247,15.449936,6.8515035383516125e-09,1.1215226141927753e-05
11,CLU,5.777573,15.073254,7.578577565367588e-09,1.1299905381121972e-05
11,ILK,5.4207644,5.752801,5.9344665106910515e-08,5.314717966239856e-05
11,AP001189.4,5.345647,11.153794,9.00946428334357e-08,6.614897803322506e-05
11,ITGA2B,5.343985,11.63013,9.092504158760853e-08,6.614897803322506e-05
11,CD9,5.314736,11.218324,1.0681219758506643e-07,7.285036926124801e-05
11,CDKN2D,5.286982,5.0854254,1.2435076396031287e-07,8.141990621065446e-05
11,FERMT3,5.2341337,6.1902986,1.6576022473035428e-07,0.00010539649308784286
11,RUFY1,5.198071,8.847489,2.0136738474824524e-07,0.00011986118985251005
11,CCL5,5.1433945,9.540155,2.6981813312754317e-07,0.00015773760789874122
11,NGFRAP1,5.011606,10.433043,5.397752817542518e-07,0.0002761119245948546
11,CTSA,4.942804,5.7303705,7.700689760015423e-07,0.00036015025909054985
